Ticker,Year,Total Post in a Financial Year,Total post related to earnings,Criticism Comments,Criticism Words,Total no. of words,Sentiment,Abnormal Discussions,Total number of positive words,Total number of negative words
WES,2010-06-30,597,288,0,,13,0.0,0.023809523809523808,0,0
WES,2011-06-30,371,173,2,,81,0.0,0.09375,5,5
WES,2012-06-30,196,63,2,,38,0.0,0.06666666666666667,2,2
WES,2013-06-30,278,137,1,,162,0.0,0.025,14,14
WES,2014-06-30,278,97,0,,38,0.0,0.029850746268656716,0,0
WES,2015-06-30,380,195,4,,193,0.2,0.125,13,13
WES,2016-06-30,534,286,0,,16,0.0,0.009009009009009009,0,0
WES,2017-06-30,534,276,2,,574,0.0,0.017699115044247787,33,33
WES,2018-06-30,720,414,3,,515,0.6666666666666666,0.01775147928994083,25,25
WES,2019-06-30,785,401,0,,0,0.0,0.0,0,0
