Ticker,Year,Total Post in a Financial Year,Total post related to earnings,Criticism Comments,Criticism Words,Total no. of words,Abnormal Discussions,Total number of positive words,Total number of negative words,Sentiment
WOW,2010-06-27,645,295,2,,40,0.02040816326530612,2,2,0.0
WOW,2011-06-26,788,382,1,,52,0.009615384615384616,4,4,1.0
WOW,2012-06-24,495,250,0,,0,0.0,0,0,0.0
WOW,2013-06-30,310,120,0,,0,0.0,0,0,0.0
WOW,2014-06-29,306,136,0,,0,0.0,0,0,0.0
WOW,2015-06-28,1862,1082,42,,5678,0.13186813186813187,310,310,0.14583333333333334
WOW,2016-06-26,3042,1806,13,,1324,0.022922636103151862,71,71,0.4375
WOW,2017-06-25,1693,951,7,,1445,0.04794520547945205,80,80,0.42857142857142855
WOW,2018-06-24,413,212,0,,13,0.05263157894736842,0,0,1.0
WOW,2019-06-30,396,162,0,,0,0.0,0,0,0.0
