,RIC,Title ,Comments,Views,Source,Date,Author,Total Post by Author,Like,Date Posted,Time,Comments2,Sentiment
9309,CSL,Ann: Research and Development Investor Briefing,1.0,94,ASX News,2010-07-12,ASX News,,851.0,7/12/2010,8:56:00 AM,"Summary: Research and Development Investor Briefing
Price Sensitive: No
Download Document  3.58MB",None
9310,,,,,,2010-07-12,floydf,834.0,1.0,6/12/2010,2:48:00 PM,been throught $36 again today a couple of times... given negative impact of A$ this seems to indicate that the market can see 'other' factors that not only cover that but much more...,Hold
9311,,,,,,2010-07-12,amhtet,435.0,,6/12/2010,3:38:00 PM,http://pr-usa.net/index.php?option=com_content&task=view&id=556084&Itemid=32,Hold
9324,CSL,Ann: Daily share buy-back notice - Appendix 3E,5.0,362,ASX News,2010-08-11,ASX News,,851.0,8/11/2010,8:59:00 AM,"Summary: Daily share buy-back notice - Appendix 3E
Price Sensitive: No
Download Document  70.04KB",None
9325,,,,,,2010-08-11,LuckyV,2913.0,,8/11/2010,11:05:00 AM,"re: Ann: Daily share buy-back notice - Append... breakout? or just buyback, good day so far",None
9326,,,,,,2010-08-11,rheags,265.0,,8/11/2010,11:25:00 AM,"re: Ann: Daily share buy-back notice - Append... breakout? bull trap? time will tell, but now we are in no mans land until $36.54!",Hold
9327,,,,,,2010-08-11,Horsetrader1,4999.0,57.0,6/11/2010,6:57:00 AM,"While I agree the news is old news, the implications for CSL had not been fully worked out by the market. As more information has become available, some believe that the benefits to CSL are greater then first thought. The article was published yesterday, and it talks of the ""fallout"" from the recall.

HT1",Hold
9328,,,,,,2010-08-11,rheags,265.0,,6/11/2010,8:51:00 PM,"Main driver last couple of days is the republican win in the US, obamacare hit all health stocks and now with republican win in lower house large chunks of the policy may be rejected.

But $34.40 is the hotspot, can't break that we head back down to continue our sideways consolidation.",Hold
9329,,,,,,2010-08-11,matty193,6.0,,5/11/2010,10:17:00 AM,"Perhaps the general market sentiment?

Buy side is stacked this morning - may keep pushing up.",Hold
9330,,,,,,2010-08-11,AZZUMAH,1522.0,,5/11/2010,3:55:00 PM,$34.22 with dollar parity. Gotta be happy with that.,None
9331,,,,,,2010-08-11,Horsetrader1,4999.0,57.0,5/11/2010,5:41:00 PM,"Price rise has been driven by the recall of a competitor's product in Europe

Try this link

http://www.afr.com/p/opinion/csl_winner_from_rival_recall_7mxK5MtVqBcr9v1vzsHO1M

It gives you the gist of why CSL is rising.

HT1",LT
9332,,,,,,2010-08-11,amhtet,435.0,,5/11/2010,10:34:00 PM,"I think that news is already old news. http://www.reuters.com/article/idUSSDYDLE6OW20101013

can't find anything supporting CSL except buyback. rising AUD should hurt it soon.",Sell
9333,,,,,,2010-08-11,amhtet,435.0,,5/11/2010,10:38:00 PM,"I think that news is already old news. http://www.reuters.com/article/idUSSDYDLE6OW20101013

can't find anything supporting CSL except buyback. rising AUD should hurt it soon.",Sell
9334,CSL,Ann: Change to Company Details ASIC Form 484,1.0,116,ASX News,2010-05-11,ASX News,,851.0,5/11/2010,3:34:00 PM,"Summary: Change to Company Details ASIC Form 484
Price Sensitive: No
Download Document  1.98MB",None
9335,CSL,huge price rise,18.0,1.3K,kensara,2010-04-11,kensara,1.0,,4/11/2010,4:01:00 PM,"Hi all,

Does anyone know why there's been such a big rise in the share price in the last two days?",None
9336,,,,,,2010-04-11,ChickenNuggets,1095.0,44.0,4/11/2010,6:15:00 PM,buyback,Hold
9337,CSL,Ann: Daily share buy-back notice - Appendix 3E,1.0,459,ASX News,2010-04-11,ASX News,,851.0,4/11/2010,8:55:00 AM,"Summary: Daily share buy-back notice - Appendix 3E
Price Sensitive: No
Download Document  70.17KB",None
9338,,,,,,2010-04-11,regularASX,2602.0,,3/11/2010,3:57:00 PM,"re: Ann: Daily share buy-back notice - Append... Lads, I am out of CSL as of now (the lot). I do not want to wait till tomorrow morning. Pocketed $1.5+ per share and will be waiting for the next round outside of the octagon.",None
9339,,,,,,2010-04-11,wendycheg,20.0,,2/11/2010,7:27:00 PM,re: Ann: Daily share buy-back notice - Append... I am a newbie trader and hold a small holding of CSL. I notice the company are doing a buy back with the maximum price @ $34.59. Can anyone tell me why people aren't holding out to sell closer to the company's maximum buy price?,ST
9377,CSL,Ann: Ceasing to be a substantial holder,1.0,73,ASX News,2010-06-10,ASX News,,851.0,6/10/2010,6:02:00 PM,"Summary: Ceasing to be a substantial holder
Price Sensitive: No
Download Document  28.54KB",None
9378,,,,,,2010-06-10,Hamrun,1078.0,4.0,2/10/2010,9:10:00 AM,"re: Ann: Daily share buy-back notice - Append... Any one knows the CSL code in the USA please?

Cheers",None
9406,CSL,another cycle,26.0,1.6K,vpow,2010-09-17,vpow,32.0,,17/09/2010,5:08:00 PM,Look like we getting another cycle from CSL. Im waiting for the hammer sign.,None
9410,CSL,Ann: Changes relating to buy-back - Appendix 3D,1.0,82,ASX News,2010-08-09,ASX News,,851.0,8/09/2010,3:01:00 PM,"Summary: Changes relating to buy-back - Appendix 3D
Price Sensitive: No
Download Document  34.25KB",None
9411,CSL,Ann: Becoming a substantial holder,1.0,74,ASX News,2010-07-09,ASX News,,851.0,7/09/2010,5:38:00 PM,"Summary: Becoming a substantial holder
Price Sensitive: No
Download Document  33.11KB",None
9412,,,,,,2010-07-09,ChickenNuggets,1095.0,44.0,4/09/2010,10:13:00 AM,can anyone see CSL hitting 36 bucks within about 2 or 3 months?,Hold
9419,CSL,Ann: Change of Director's Interest Notices,1.0,67,ASX News,2010-08-27,ASX News,,851.0,27/08/2010,3:17:00 PM,"Summary: Change of Director's Interest Notices
Price Sensitive: No
Download Document  49.1KB",None
9420,CSL,Ann: Change of Director's Interest Notice,1.0,68,ASX News,2010-08-27,ASX News,,851.0,27/08/2010,3:13:00 PM,"Summary: Change of Director's Interest Notice
Price Sensitive: No
Download Document  13.07KB",None
9421,CSL,Ann: Change of Director's Interest Notice,1.0,74,ASX News,2010-08-27,ASX News,,851.0,27/08/2010,2:38:00 PM,"Summary: Change of Director's Interest Notice
Price Sensitive: No
Download Document  12.54KB",None
9422,,,,,,2010-08-27,lindfield,1845.0,,26/08/2010,12:43:00 PM,CSL - today,Buy
9423,,,,,,2010-08-27,SwingT,102.0,2.0,26/08/2010,1:36:00 PM,"Gap now filled at $31.49. If it's strong, low should be in for the day and it should be up from here.",ST
9424,,,,,,2010-08-27,SwingT,102.0,2.0,26/08/2010,4:06:00 PM,"Sold out just before close, looked to weak for my liking after the gap up this morning.
Now watch it gap up again tomorrow morning! Ah well",None
9425,,,,,,2010-08-27,regularASX,2602.0,,25/08/2010,7:29:00 AM,"Last night the health-care sector in the USA fell with all other sectors. Apart from gold and bonds it will be pretty much the same here, I think.

I reckon we will see CSL under $31.00 today. I do not expect it to reach its lowest point till about 12-ish. My entry target is around $30.80. If we get there today I will start loading up but won't rush in as I will be waiting for another confirmation from the USA tonight. If DOW falls again (100+ points) I will sit it out until there is a bit more data which will help me determine the direction of the markets (ST). If DOW recovers (50+ points) or falls by some 20-30 points I will back up my truck and load up.

Worst case scenario - CSL falls today by some 40-50 cents and then DOW drops hard tonight, I reckon we may be able to pick up some CSL closer to $29.00-29.30 in a day or two. My feeling is if CSL was to fall under $30.50 we would witness more volatile swings as about a year and 1/2 ago. It won't be a good time for mid-long term investors to jump in yet but it will be an excellent opportunity for traders to try their luck. I am sitting on the fence. Trader or investor? Hmmm...",None
9426,,,,,,2010-08-27,SwingT,102.0,2.0,25/08/2010,8:17:00 AM,"Thanks for sharing your thoughts regularASX.
What healthcare indicies do you look at in the US?

Any additional to the below

HCX
Amex MS Healthcare Payer Index HMO
Amex MS Healthcare Products Index RXP
Amex MS Healthcare Providers Index RXH

""Trader or investor""?
I know as traders we lose money when we change our holding period and become ""investors"" when our inital trade doesn't go to plan. I am probably guilty here as I should have cut this trade and waited for a better entry.

Hope CSL stays somewhat resilient today.",ST
9427,,,,,,2010-08-27,vpow,32.0,,25/08/2010,10:02:00 AM,"I totally agree with RegularASX.

IF share price really drop to 30.80 as what RegularASX said, ill wait for another day or 2 for confirmation as market is very volatile at the moment. Although the TA shows slight uptrend (by the way anyone seeing similar trend?) however i still not very sure where it is heading. DJ dropped another 100+ point and i anticipate it will cause another % drop for CSL SP. At 30.80 level it have fallen close to the last 6 month low,(support level in May 2010). If it breaks that level i guess ill just wait and see where it's heading after that.

Good luck.",None
9428,,,,,,2010-08-27,regularASX,2602.0,,25/08/2010,3:43:00 PM,"A very good sign! Strong support, defensives up, unlike in the US...(CSL, BXB, TCL, etc.) I reckon we are very close.",None
9429,,,,,,2010-08-27,vpow,32.0,,25/08/2010,3:46:00 PM,strong sign today. Did you enter the market ?,None
9430,,,,,,2010-08-27,regularASX,2602.0,,25/08/2010,7:15:00 PM,Nope...I have not traded today at all. Just observed and planned :),None
9431,,,,,,2010-08-27,Carbondriver,685.0,25.0,24/08/2010,12:20:00 AM,"I am holding this as the downwards momentum dried up yesterday arvo. Unless the market tanks tonight I think there will be profits coming and some upside.

This is a top notch company which ever way you look at it IMHO.

CD",Buy
9432,,,,,,2010-08-27,vpow,32.0,,24/08/2010,1:25:00 PM,Up few % from yesterday trade. I anticipate it to go lower today as DJ was down. Slight up trend today. Any thought?,None
9433,,,,,,2010-08-27,SwingT,102.0,2.0,24/08/2010,1:49:00 PM,Expecting a breakout pretty soon up to $31.80,ST
9434,,,,,,2010-08-27,betman,1105.0,105.0,24/08/2010,3:04:00 PM,here comes the cavalry!,Buy
9435,,,,,,2010-08-27,SwingT,102.0,2.0,24/08/2010,3:15:00 PM,"Betman,
That attempt was lacking volume. If not by market close then hopefully tomorrow.",ST
9436,,,,,,2010-08-27,vpow,32.0,,24/08/2010,4:19:00 PM,pretty flat trading today. Do yo reckon it will drop another % before it bounce back?,None
9437,CSL,reversal day,1.0,105,betman,2010-08-24,betman,1105.0,105.0,24/08/2010,10:29:00 AM,"reversal day,hopefully oversold,shorters closing positions?
cheers",Buy
